2,1,2025-10-20 17:32:38,whatsapp,ibuprofeno,88.0,"Sí, Ibuprofeno 20mcg (Jarabe) – Stock: 447 unidades. Ubicación: Sede Occidente Santa Marta, Transversal 30 No. 70-29 (Santa Marta). Actualizado: 2025-10-11.",1029,1
3,2,2025-10-20 05:46:38,telefono,metformina,89.0,"Sí, Metformina 125UI (Suspensión) – Stock: 446 unidades. Ubicación: Sede Norte Armenia, Carrera 50 No. 28-62 (Armenia). Actualizado: 2025-10-14.",656,1
4,3,2025-10-20 17:34:38,telefono,omeprazol,20.0,"Sí, Omeprazol 500UI (Suspensión) – Stock: 440 unidades. Ubicación: Sede Sur Villavicencio, Diagonal 12 No. 7-71 (Villavicencio). Actualizado: 2025-10-12.",877,1
5,4,2025-10-21 00:21:38,whatsapp,ibuprofeno,88.0,"Sí, Ibuprofeno 20mcg (Jarabe) – Stock: 447 unidades. Ubicación: Sede Occidente Santa Marta, Transversal 30 No. 70-29 (Santa Marta). Actualizado: 2025-10-11.",839,1
6,5,2025-10-20 15:06:38,telefono,clopidogrel,34.0,"Sí, Clopidogrel 20UI (Cápsula) – Stock: 262 unidades. Ubicación: Sede Sur Bogotá, Calle 67 No. 49-42 (Bogotá). Actualizado: 2025-10-05.",290,1
7,6,2025-10-20 15:03:38,web,salbutamol,101.0,"Sí, Salbutamol 850UI (Polvo) – Stock: 449 unidades. Ubicación: Sede La Esperanza Cali, Transversal 124 No. 28-52 (Cali). Actualizado: 2025-09-25.",395,1
8,7,2025-10-21 03:08:38,whatsapp,metformina,89.0,"Sí, Metformina 125UI (Suspensión) – Stock: 76 unidades. Ubicación: Sede Norte Popayán, Transversal 71 No. 6-1 (Popayán). Actualizado: 2025-10-17.",88,1
9,8,2025-10-20 09:55:38,web,clopidogrel,27.0,"Sí, Clopidogrel 750g (Jarabe) – Stock: 326 unidades. Ubicación: Sede Oriente Bogotá, Diagonal 122 No. 71-68 (Bogotá). Actualizado: 2025-10-07.",981,1
10,9,2025-10-20 14:21:38,web,ampicilina,52.0,"Sí, Ampicilina 10ml (Crema) – Stock: 450 unidades. Ubicación: Sede Occidente Ibagué, Diagonal 12 No. 56-1 (Ibagué). Actualizado: 2025-10-12.",709,1
11,10,2025-10-20 09:31:38,web,omeprazol,20.0,"Sí, Omeprazol 500UI (Suspensión) – Stock: 440 unidades. Ubicación: Sede Sur Villavicencio, Diagonal 12 No. 7-71 (Villavicencio). Actualizado: 2025-10-12.",1037,1
12,11,2025-10-20 07:41:38,telefono,diclofenaco,90.0,"Sí, Diclofenaco 750g (Polvo) – Stock: 450 unidades. Ubicación: Sede Occidente Pereira, Diagonal 103 No. 48-57 (Pereira). Actualizado: 2025-09-21.",1154,1
13,12,2025-10-20 10:32:38,web,acetaminofén,116.0,"Sí, Acetaminofén 5g (Solución inyectable) – Stock: 445 unidades. Ubicación: Sede Norte Popayán, Transversal 71 No. 6-1 (Popayán). Actualizado: 2025-09-22.",332,1
14,13,2025-10-20 16:40:38,telefono,clopidogrel,34.0,"Sí, Clopidogrel 20UI (Cápsula) – Stock: 443 unidades. Ubicación: Sede Norte Popayán, Transversal 71 No. 6-1 (Popayán). Actualizado: 2025-09-26.",94,1
15,14,2025-10-20 10:12:38,whatsapp,dexametasona,67.0,"Sí, Dexametasona 10UI (Tableta) – Stock: 433 unidades. Ubicación: Sede Oriente Bucaramanga, Carrera 40 No. 48-21 (Bucaramanga). Actualizado: 2025-10-08.",285,1
16,15,2025-10-20 22:11:38,whatsapp,ampicilina,39.0,"Sí, Ampicilina 20ml (Ungüento) – Stock: 425 unidades. Ubicación: Sede San Martín Cúcuta, Carrera 68 No. 51-17 (Cúcuta). Actualizado: 2025-10-12.",1061,1
17,16,2025-10-20 21:15:38,web,dexametasona,67.0,"Sí, Dexametasona 10UI (Tableta) – Stock: 450 unidades. Ubicación: Sede La Esperanza Pasto, Diagonal 129 No. 70-64 (Pasto). Actualizado: 2025-10-07.",739,1
18,17,2025-10-20 08:13:38,telefono,losartán,60.0,"Sí, Losartán 250mcg (Suspensión) – Stock: 202 unidades. Ubicación: Sede Parque Ibagué, Carrera 112 No. 23-67 (Ibagué). Actualizado: 2025-09-30.",564,1
19,18,2025-10-20 09:48:38,web,ampicilina,52.0,"Sí, Ampicilina 10ml (Crema) – Stock: 450 unidades. Ubicación: Sede Occidente Ibagué, Diagonal 12 No. 56-1 (Ibagué). Actualizado: 2025-10-12.",124,1
20,19,2025-10-20 11:49:38,telefono,ampicilina,52.0,"Sí, Ampicilina 10ml (Crema) – Stock: 450 unidades. Ubicación: Sede Occidente Ibagué, Diagonal 12 No. 56-1 (Ibagué). Actualizado: 2025-10-12.",438,1
21,20,2025-10-20 08:41:38,telefono,atorvastatina,62.0,"Sí, Atorvastatina 850mg (Crema) – Stock: 443 unidades. Ubicación: Sede Norte Bucaramanga, Calle 61 No. 52-16 (Bucaramanga). Actualizado: 2025-10-16.",385,1
22,21,2025-10-21 03:29:38,whatsapp,azitromicina,74.0,"Sí, Azitromicina 10g (Crema) – Stock: 448 unidades. Ubicación: Sede La Esperanza Pasto, Diagonal 142 No. 17-25 (Pasto). Actualizado: 2025-10-21.",876,1
23,22,2025-10-21 04:26:38,web,dexametasona,67.0,"Sí, Dexametasona 10UI (Tableta) – Stock: 450 unidades. Ubicación: Sede La Esperanza Pasto, Diagonal 129 No. 70-64 (Pasto). Actualizado: 2025-10-07.",334,1
24,23,2025-10-20 08:06:38,telefono,ibuprofeno,88.0,"Sí, Ibuprofeno 20mcg (Jarabe) – Stock: 447 unidades. Ubicación: Sede Occidente Santa Marta, Transversal 30 No. 70-29 (Santa Marta). Actualizado: 2025-10-11.",965,1
25,24,2025-10-20 05:33:38,web,amoxicilina 500mg,,No se encontró el medicamento solicitado en el inventario simulado.,1116,0
26,25,2025-10-20 21:19:38,whatsapp,ampicilina,52.0,"Sí, Ampicilina 10ml (Crema) – Stock: 450 unidades. Ubicación: Sede Occidente Ibagué, Diagonal 12 No. 56-1 (Ibagué). Actualizado: 2025-10-12.",187,1
27,26,2025-10-21 04:10:38,telefono,ibuprofeno,88.0,"Sí, Ibuprofeno 20mcg (Jarabe) – Stock: 447 unidades. Ubicación: Sede Occidente Santa Marta, Transversal 30 No. 70-29 (Santa Marta). Actualizado: 2025-10-11.",253,1
28,27,2025-10-20 13:17:38,whatsapp,omeprazol,20.0,"Sí, Omeprazol 500UI (Suspensión) – Stock: 440 unidades. Ubicación: Sede Sur Villavicencio, Diagonal 12 No. 7-71 (Villavicencio). Actualizado: 2025-10-12.",969,1
29,28,2025-10-20 23:59:38,web,atorvastatina,62.0,"Sí, Atorvastatina 850mg (Crema) – Stock: 443 unidades. Ubicación: Sede Norte Bucaramanga, Calle 61 No. 52-16 (Bucaramanga). Actualizado: 2025-10-16.",960,1
30,29,2025-10-20 20:29:38,telefono,omeprazol,20.0,"Sí, Omeprazol 500UI (Suspensión) – Stock: 440 unidades. Ubicación: Sede Sur Villavicencio, Diagonal 12 No. 7-71 (Villavicencio). Actualizado: 2025-10-12.",906,1
31,30,2025-10-21 01:53:38,whatsapp,atorvastatina,62.0,"Sí, Atorvastatina 850mg (Crema) – Stock: 443 unidades. Ubicación: Sede Norte Bucaramanga, Calle 61 No. 52-16 (Bucaramanga). Actualizado: 2025-10-16.",507,1
32,31,2025-10-20 09:00:38,telefono,atorvastatina,62.0,"Sí, Atorvastatina 850mg (Crema) – Stock: 443 unidades. Ubicación: Sede Norte Bucaramanga, Calle 61 No. 52-16 (Bucaramanga). Actualizado: 2025-10-16.",607,1
33,32,2025-10-21 00:34:38,whatsapp,losartán,102.0,"Sí, Losartán 20g (Tableta) – Stock: 444 unidades. Ubicación: Sede San Martín Cúcuta, Carrera 68 No. 51-17 (Cúcuta). Actualizado: 2025-10-19.",505,1
34,33,2025-10-21 00:59:38,telefono,atorvastatina,95.0,"Sí, Atorvastatina 20g (Tableta) – Stock: 303 unidades. Ubicación: Sede Occidente Ibagué, Transversal 100 No. 75-3 (Ibagué). Actualizado: 2025-09-24.",287,1
35,34,2025-10-20 18:12:38,telefono,omeprazol,20.0,"Sí, Omeprazol 500UI (Suspensión) – Stock: 440 unidades. Ubicación: Sede Sur Villavicencio, Diagonal 12 No. 7-71 (Villavicencio). Actualizado: 2025-10-12.",293,1
36,35,2025-10-20 05:35:38,web,ibuprofeno,88.0,"Sí, Ibuprofeno 20mcg (Jarabe) – Stock: 447 unidades. Ubicación: Sede Occidente Santa Marta, Transversal 30 No. 70-29 (Santa Marta). Actualizado: 2025-10-11.",974,1
37,36,2025-10-20 17:48:38,whatsapp,ibuprofeno,88.0,"Sí, Ibuprofeno 20mcg (Jarabe) – Stock: 447 unidades. Ubicación: Sede Occidente Santa Marta, Transversal 30 No. 70-29 (Santa Marta). Actualizado: 2025-10-11.",410,1
38,37,2025-10-20 07:17:38,telefono,ibuprofeno,117.0,"Sí, Ibuprofeno 850g (Solución inyectable) – Stock: 256 unidades. Ubicación: Sede Oriente Bogotá, Diagonal 122 No. 71-68 (Bogotá). Actualizado: 2025-10-11.",1198,1
39,38,2025-10-20 05:37:38,whatsapp,clopidogrel,34.0,"Sí, Clopidogrel 20UI (Cápsula) – Stock: 443 unidades. Ubicación: Sede Norte Popayán, Transversal 71 No. 6-1 (Popayán). Actualizado: 2025-09-26.",489,1
40,39,2025-10-20 11:51:38,whatsapp,clopidogrel,27.0,"Sí, Clopidogrel 750g (Jarabe) – Stock: 183 unidades. Ubicación: Sede Centro Bogotá, Carrera 133 No. 47-80 (Bogotá). Actualizado: 2025-10-10.",744,1
41,40,2025-10-20 08:15:38,whatsapp,omeprazol,20.0,"Sí, Omeprazol 500UI (Suspensión) – Stock: 440 unidades. Ubicación: Sede Sur Villavicencio, Diagonal 12 No. 7-71 (Villavicencio). Actualizado: 2025-10-12.",87,1
